id,nombre,categoria
539,pava electrica,electrodomesticos
548,vestidor,dormitorio
540,tostadora electrica poster,electrodomesticos
487,placard millenium 22,dormitorio
546,parlate portatil party 12,tecnologia
547,parlante eco bomm,tecnologia
33,reposera 5 posiciones,jardin
405,manijas para mueble,accesorios
553,parlante tripode,tecnologia
554,parlante supercrush,tecnologia
555,parlante nitromood,tecnologia
564,respaldo,dormitorio
565,respaldo,dormitorio
566,respaldo canelon,dormitorio
567,respaldo capilla,dormitorio
552,secarropa 6kg,electrodomesticos
568,respaldo,dormitorio
569,respaldo,dormitorio
577,perchero,perchero
578,perchero,perchero
581,freidora de aire,electrodomesticos
582,evod bravery 215,electrodomesticos
589,sollon combo 66,sillones
585,pava elecetrica,electrodomesticos
591,conjunto real 20alto,combo
598,conjunto g.jackard c/pillow,combo
593,conjunto g.jackard c/pillow,combo
594,conjunto g.jackard,combo
575,tostadora,electrodomesticos
576,tostadora,electrodomesticos
549,mesada,cocina
599,conjunto super lujo,combo
601,conjunto super lujo,combo
602,conjunto super lujo,combo
603,conjunto palace c/pillow,combo
604,conjunto palace c/pillow,combo
606,conjunto palace s/pillow,combo
608,conjunto luxor,combo
609,conjunto luxor,combo
611,conjunto silver,combo
612,conjunto silver,combo
615,conjunto flow,combo
616,conjunto flow,combo
619,conjunto equis,combo
613,conjunto equis,combo
614,conjunto equis,combo
621,set de ollas,sets de ollas
622,set de ollas,sets de ollas
596,conjunto g.jackard s/pillow,combo
607,conjunto palace,combo
633,set de sartenes,sets de ollas
600,sillon combo 14,living
679,panel de tv,living
695,respaldo,dormitorio
694,respaldo,dormitorio
696,respaldo,dormitorio
697,respaldo,dormitorio
698,respaldo,dormitorio
704,pava electrica,electrodomesticos
663,bolso de herramientas 28pcs/set,herramientas
662,bolso de herramientas,herramientas
652,combo sommier palace,dormitorio
707,parlante mini,tecnologia
706,auriculares,tecnologia
708,purificador,purificadores
537,waflera electrica crunchywar,electrodomesticos
709,secador de pelo,cuidado personal
710,secador de pelo,cuidado personal
711,secador de pelo,cuidasdo personal
712,secador de pelo,cuidado personal
713,planchita y secador,cuidsdo personal
714,planchita y cepillo secador,cuidado personal
2,despensero,cocina
56,cajonera 6 cajones,dormitorio
29,mesa,comedor
22,cajonera 7 cajones,dormitorio
1,silla kila,comedor
21,cajonera 7 cajones,dormitorio
27,silla hindu,comedor
7,placard pino puerta de abrir,dormitorio
24,cajonera asia,dormitorio
41,cama,dormitorio
10,cajonera pata retro,dormitorio
38,cama,dormitorio
23,cajonera asia,dormitorio
6,mesa y silla plegable,comedor
16,rack tv pino vintage,living
54,termotanque 55l,electrodomesticos
14,alacena,cocina
40,cucheta,dormitorio
26,placard pino puerta de abrir,dormitorio
495,cama,dormitorio
57,placard dakar 2 puertas corredizas,dormitorio
13,bajo mesada,cocina
55,termotanque 45l,electrodomesticos
46,mesa plegable,comedor
43,mesa plegable,comedor
47,combo quincho,jardin
28,"mesa 1,50",comedor
31,horno microondas analogico,electrodomesticos
32,horno microondas digital,electrodomesticos
45,banco plegable,comedor
5,silla plegable,comedor
4,mesa plegable,comedor
30,mesa,comedor
17,silla eco,comedor
58,placard dakar 4 puertas de abrir,dormitorio
59,placard dakar plus 6 puertas de abrir,dormitorio
25,comoda,dormitorio
39,cama,dormitorio
19,desayunador con cajon,cocina
37,cucheta,dormitorio
15,combo bajo y alacena,cocina
11,cristalero,comedor
8,placard corredizo pino espejo,dormitorio
60,"despensero 1,80",cocina
693,mesa escandilava,comedor
62,mesa de luz pack,dormitorio
72,colchon silver,dormitorio
73,colchon extra 18alto,dormitorio
63,mesada,cocina
65,colchon standard 13alto,dormitorio
68,colchon eco 17alto,dormitorio
69,colchon palace sin pillow,dormitorio
44,combo quincho,jardin
74,colchon de cuna funcional 140x80,infantil
441,placard dakar 4 puertas,dormitorio
80,colchon real,dormitorio
81,colchon extra,dormitorio
82,colchon super lujo,dormitorio
71,colchon super lujo,dormitorio
9,mesa de luz vintaje,dormitorio
83,colchon silver,dormitorio
84,colchon palace doble pillow,dormitorio
75,colchon eco,dormitorio
77,colchon extra,dormitorio
76,colchon standard 17 alto,dormitorio
88,candybar,comedor
89,escritorio pc,oficina
90,escritorio 4 cajones,oficina
98,colchon estandar 13alto,dormitorio
93,mesa de luz vintage con cajon y puerta,dormitorio
94,box,dormitorio
176,mesa,comedor
96,box,dormitorio
78,box,dormitorio
64,colchon flow,dormitorio
104,colchon equis,dormitorio
111,colchon extra 17alto,dormitorio
99,colchon extra 18alto,dormitorio
106,colchon extra 18alto,dormitorio
103,colchon gold jackard con pillow,dormitorio
79,colchon gold jackard sin pillow,dormitorio
100,colchon palace con pillow,dormitorio
70,colchon palace con pillow,dormitorio
108,colchon palace con pillow,dormitorio
107,colchon palace sin pillow,dormitorio
102,colchon gold jackard sin pillow,dormitorio
120,colchon elite,dormitorio
116,colchon gold jackard sin pillow,dormitorio
159,colchon equis,dormitorio
114,colchon palace sin pillow,dormitorio
112,colchon real 20alto,dormitorio
105,colchon eco 17alto,dormitorio
126,silla hindu,comedor
115,colchon super lujo,dormitorio
137,cajonera 6 cajones,dormitorio
129,silla eco,comedor
124,banco plegable,comedor
442,placard dakar 2 puertas,dormitorio
446,placard eco pack,dormitorio
118,colchon flow,dormitorio
127,silla sol pinito,comedor
135,comodon,dormitorio
130,bahiut,living
132,bahiut,living
134,ropero chifo 2 puertas,dormitorio
136,cajonera 5 cajones,dormitorio
156,bicicleta,deportes
144,biblioteca,living
138,cajonera 7 cajones,dormitorio
139,cajonera asia,dormitorio
140,cajonera asia,dormitorio
141,biblioteca,living
145,mesa de luz sommier,dormitorio
146,mesa de luz cajon y puerta,dormitorio
128,silla franchesca,comedor
67,colchon eco 13alto,dormitorio
149,hamaca gemela,jardin
150,calesita,infantil
153,bicicleta,deportes
154,bicicleta,deportes
155,bicicleta,deportes
151,bicicleta,deportes
152,bicicleta,deportes
113,colchon silver,dormitorio
117,colchon luxor,dormitorio
142,biblioteca,living
158,colchon gold jackar sin pillow,dormitorio
147,mesa de luz vintage,dormitorio
160,colchon gold jackard con pillow,dormitorio
97,colchon eco 13alto,dormitorio
121,mesa plegable,comedor
123,banco plegable,comedor
148,combo quincho,jardin
122,mesa plegable,comedor
436,superpuesta,dormitorio
167,placard macizo,dormitorio
168,placard macizo,dormitorio
191,combo quincho,jardin
171,alzada maciza,cocina
178,mesa,comedor
443,placard dakar 3 puertas,dormitorio
174,mesa,comedor
177,mesa,comedor
179,"mesa trampa rectangular 1,40 a 1,80",comedor
209,colchon standard 17alto,dormitorio
189,silla plegable,comedor
190,mesa plegable,comedor
175,mesa,comedor
192,rack tv,living
161,despensero,cocina
203,placard millenium 24,dormitorio
201,placard millenium 24,dormitorio
205,colchon eco 13alto,dormitorio
42,banco plegable,comedor
206,colchon eco 17alto,dormitorio
207,colchon standard 13alto,dormitorio
210,colchon exttra 13alto,dormitorio
66,colchon standard 17alto,dormitorio
212,colchon silver,dormitorio
213,colchon palace,dormitorio
214,colchon palace doble pillow,dormitorio
215,colchon equis,dormitorio
216,colchon gold jackard,dormitorio
219,colchon eco 17alto,dormitorio
220,colchon standard 17alto,dormitorio
221,colchon extra,dormitorio
217,colchon super lujo,dormitorio
211,colchon flow,dormitorio
172,mesa,comedor
166,placard corredizo,dormitorio
173,mesa,comedor
224,colchon palace,dormitorio
226,colchon super lujo,dormitorio
227,colchon equis,dormitorio
228,colchon gold jackard,dormitorio
437,cama 1 plaza 1/2,dormitorio
109,colchon eco 17alto,dormitorio
233,colchon silver,dormitorio
230,colchon eco 17alto,dormitorio
231,colchon standard,dormitorio
232,colchon real,dormitorio
234,colchon palace,dormitorio
235,colchon palace con pillow,dormitorio
236,colchon super lujo,dormitorio
237,colchon super lujo plus,dormitorio
238,colchon gold jackard,dormitorio
239,mesa plegable matera,comedor
240,colchon gold jackard con pillow,dormitorio
241,colchon luxor,dormitorio
223,colchon silver,dormitorio
444,combo bajo y alacena,cocina
447,combo bajo y alacena,cocina
452,kit de viaje,herramientas
449,combo bajo y alacena,cocina
456,"combo bajo,alacena y mesada",cocina
458,"combo bajo,alacena y mesada",cocina
460,cortadora de cabello 13 piezas,cuidado personal
85,cortadora de cabello,cuidado personal
467,placard darkar 12 puertas de abrir,dormitorio
471,placard corredizo,dormitorio
475,placard dakar corredizo,dormitorio
477,placard dakar 10 puertas de abrir,dormitorio
481,placard darkar 8 puertas de abrir,dormitorio
480,placard darkar 8 puertas de abrir,dormitorio
482,placard darkar 6 puertas de abrir,dormitorio
483,placard darkar 6 puertas de abrir,dormitorio
484,placard darkar 6 puertas de abrir,dormitorio
202,placard millenium 24,dormitorio
485,placard millenium 23,dormitorio
486,placard millenium 23,dormitorio
488,placard millenium 26,dormitorio
489,placard millenium 26,dormitorio
490,placard millenium 26,dormitorio
491,placard millenium 26,dormitorio
125,silla hindu eco,comedor
465,mesa,comedor
473,combo 25 + camastro,jardin
131,bahiut,living
133,ropero chifo 1 puerta,dormitorio
208,cama nido doble,dormitorio
143,biblioteca,living
279,alacena,cocina
218,box,dormitorio
254,colchon quantium,dormitorio
255,colchon ilusion,dormitorio
256,box,dormitorio
257,colchon deam on,dormitorio
258,bajo mesada,cocina
259,bajo mesada esquinero,cocina
260,bajo mesada,cocina
262,bajo mesada,cocina
263,bajo mesada,cocina
264,bajo mesada,cocina
266,alacena,cocina
267,alacena esquinera,cocina
268,alacena,cocina
280,alacena,cocina
274,cama superpuesta,dormitorio
275,cama superpuesta,dormitorio
276,cama,dormitorio
277,alacena,cocina
278,alacena,cocina
281,alacena,cocina
282,cuna fija,infantil
283,cama,dormitorio
284,cama superpuesta,dormitorio
286,mesa,comedor
287,silla 2000,comedor
288,silla franchesca,comedor
289,silla sol,comedor
290,silla hindu reforzada,comedor
291,sillas hindu eco,comedor
292,sillas eco pintadas,comedor
271,termotanque 80l,electrodomesticos
261,bajo mesada,cocina
269,termotanque 45l,electrodomesticos
272,termotanque 90l,electrodomesticos
245,cocina candor,cocina
273,termotanque 120l,electrodomesticos
248,cocina master classic,cocina
246,cocina master classic,cocina
249,cocina master style,cocina
331,mesa trampa,comedor
295,silla abby,comedor
296,silla victor maña,comedor
297,silla ella,comedor
298,silla reyna,comedor
299,silla tulum,comedor
300,silla la nueva,comedor
301,silla mia,comedor
302,silla adriana,comedor
303,sillas issusi,comedor
304,silla kila,comedor
305,mesa eco,comedor
493,placard alto,dormitorio
306,mesa eco,comedor
307,mesa eco,comedor
308,mesa eco,comedor
309,mesa eco,comedor
310,mesa trampa,comedor
311,mesa plegable,comedor
312,mesa plegable,comedor
313,banco plegable,comedor
314,banco plegable,comedor
315,combo quincho,jardin
319,hamaca gemela,jardin
345,mesa eco con detalle,comedor
325,mesa plegable,comedor
324,silla plegable,comedor
329,mesa fija,comedor
330,mesa fija,comedor
333,mesa escandinava,comedor
334,mesa plegable matera,comedor
336,silla de comer de bebe,comedor
332,mesa eco,comedor
349,placard corredizo,dormitorio
270,termotanque 55l,electrodomesticos
361,despensero,cocina
373,cajonera asia,dormitorio
374,cajonera 6 cajones,dormitorio
389,desmalezadora mptde52,herramientas
370,alacena,cocina
357,alzada corrediza,cocina
354,alzada maciza,cocina
369,bajo mesada,cocina
366,biblioteca,living
367,biblioteca,living
375,cajonera 7 cajones,dormitorio
372,cajonera asia,dormitorio
378,desayunador,cocina
377,desayunador,cocina
381,estanteria 4 maderas,living
364,mesa de luz cajon y puerta,dormitorio
363,mesa de luz vintage,dormitorio
376,cajonera 5 cajones,dormitorio
383,cristaler bajo,comedor
362,despensero,cocina
365,mesa de luz vintage doble cajon,dormitorio
358,placard corredizo,dormitorio
350,placard corredizo,dormitorio
356,placard macizo,dormitorio
351,placard macizo,dormitorio
352,placard macizo,dormitorio
406,placard macizo,dormitorio
407,placard corredizo,dormitorio
408,alzada corrediza,cocina
409,alzada corrediza,cocina
410,carro cama,dormitorio
368,biblioteca,living
371,cristalero 2 puerta,comedor
445,placard dakar 3 puertas,dormitorio
448,placard dakar plus 6 puertas,dormitorio
420,"cama eco 2/1,2",dormitorio
422,chifo 1 puerta,dormitorio
423,chifo 2 puertas,dormitorio
440,maquina de cortar pelo,cuidado personal
425,hidrolavadora,herramientas
451,combo bajo y alacena,cocina
419,taladro percutor,herramientas
418,combo taladro + moladora,herramientas
426,desmalezadora,herramientas
427,mesada,cocina
429,mesada,cocina
415,cocina master style,cocina
417,cocina master style,cocina
416,cocina  classic,cocina
430,mesada,cocina
431,mesada,cocina
432,mesada,cocina
247,cocina master style,cocina
453,combo bajo y alacena,cocina
455,cortadora de cabello easy fade,cuidado personal
457,"combo bajo,alacena,mesada",cocina
459,"combo bajo,alacena y mesada",cocina
461,cortadora de cabelo dual shave,cuidado personal
462,mesa de luz 2 cajones,dormitorio
468,placard darkar 12 puertas de abrir,dormitorio
469,placard darkar 12 puertas de abrir,dormitorio
476,alzada corrediza,cocina
478,placard darkar 10 puertas de abrir,dormitorio
479,placard darkar 10 puertas de abrir,dormitorio
494,placard alto,dormitorio
265,bajo mesada,cocina
428,mesada,cocina
472,combo chester + camastro,living
470,mesa,comedor
412,mesa,comedor
466,mesa,comedor
492,placard millenium 22,dormitorio
496,placard millenium 22,dormitorio
497,placard millenium 22,dormitorio
500,alacena,cocina
501,alacena,cocina
502,alacena,cocina
503,alacena,cocina
504,alacena,cocina
505,alacena,cocina
507,bajo mesada,cocina
508,bajo mesada,cocina
509,bajo mesada,cocina
510,bajo mesada,cocina
511,comoda 4 cajones nature,dormitorio
512,bicicleta niño,infantil
513,bicicleta niño,infantil
514,comoda 4 cajones nebrasca,dormitorio
515,bicicleta niño,infantil
516,bicicleta niño,infantil
506,bicicleta,deportes
517,cocina compacta,cocina
518,bajo mesada,cocina
519,alacena,cocina
520,bacha de acero,cocina
521,mesada,cocina
522,box benethon 2 plazas,dormitorio
523,"despencero 1,80 de alto",cocina
524,"escobero dos puertas 1,80 de alto",cocina
525,aparador de cocina,cocina
526,aparador de cocina,cocina
527,aparador de cocina,cocina
530,escritorio classic,oficina
531,escritorio 709,oficina
532,escritorio 720,oficina
533,"escobero dos puertas 1,50 de alto",cocina
534,cocina compacta,cocina
535,placard alto,dormitorio
536,placard alto,dormitorio
434,mesada,cocina
541,batidora manual,electrodomesticos
542,batidora manual vuelty,electrodomesticos
544,mesa matera cuadrada,comedor
543,mesa matera redonda,comedor
545,licuadora blacklic,electrodomesticos
550,mesada,cocina
588,sillon mini chester,living
551,mesa eco,comedor
463,mesa eco,comedor
464,mesa trampa,comedor
411,mesa,comedor
556,silla ela,comedor
557,silla la nueva,comedor
558,silla adriana,comedor
559,silla cupula,comedor
560,silla luna,comedor
561,silla reyna,comedor
562,banqueta,comedor
563,silla apilable,comedor
570,licuadora 2en1,electrodomesticos
571,licuadora blender,electrodomesticos
572,licuadora,electrodomesticos
573,batidora de mano,electrodomesticos
574,batidora de mano,electrodomesticos
579,comoda nature,dormitorio
580,mesa tv 120,living
584,mesa,comedor
590,sillon combo 61,living
583,silla plegable,comedor
586,combo quincho,jardin
587,sillon combo 17,living
592,sillon combo 8,living
595,sillon combo 66,living
597,sillon combo 23,living
605,comoda dakar zero,dormitorio
618,desmalezadora,herramientas
617,box benethon,dormitorio
620,desmalezadora,herramientas
623,combo sommier super lujo,dormitorio
624,combo sommier silver,dormitorio
625,combo sommier gold jackar,dormitorio
627,combo sommier palace pillow,dormitorio
628,combo sommier flow,dormitorio
629,combo sommier flow,dormitorio
630,combo sommier equis,dormitorio
631,combo sommier equis,dormitorio
636,combo sommier equis,dormitorio
626,combo sommier palace,dormitorio
632,combo sommier real,dormitorio
635,combo sommier gold jackar pillow,dormitorio
634,combo sommier gold jackar,dormitorio
637,cocina master classic,cocina
638,cocina master style,cocina
639,combo sommier equis,dormitorio
640,combo sommier super lujo,dormitorio
641,combo sommier super lujo,dormitorio
643,lavarropas semi automatico,electrodomesticos
645,silla ella,comedor
646,sillas eco hindu,comedor
648,silla reyna,comedor
647,silla hindu eco,comedor
610,futon,living
651,sofa cama,dormitorio
650,sillon futon,living
642,lavarropa redondo,electrodomesticos
649,silla juli,comedor
653,combo sommier palace pillow,dormitorio
654,combo sommier silver,dormitorio
655,combo sommier silver,dormitorio
656,combo sommier luxor,dormitorio
657,combo sommier luxor,dormitorio
658,combo sommier super lujo plus,dormitorio
659,combo sommier quantium,dormitorio
660,combo sommier quantium,dormitorio
661,combo sommier ilusion,dormitorio
664,lavarropa semi automatico,electrodomesticos
665,mini chester,living
666,sillon combo 8,living
667,sillon combo 15,living
668,sillon combo 61,living
669,sillon combo 61,living
670,mesa pintada,comedor
671,silla pintada,comedor
672,sillon combo 13,living
673,sillon combo 25,living
674,sillon combo 6,living
675,sillon combo 68,living
676,sillon combo 19,living
677,sillon combo 4,living
678,sillon combo 38,living
680,silla cupula,comedor
682,silla aby,comedor
684,silla adriana,comedor
685,silla issusi,comedor
681,silla kila,comedor
644,silla 2000,comedor
686,silla tulum,comedor
687,silla victor,comedor
688,silla la nueva,comedor
689,mesa,comedor
690,mesa,comedor
691,mesa,comedor
692,mesa trampa,comedor
699,colchon de cuna,infantil
700,colchon de cuna,infantil
701,silla de bebe,comedor
702,desmalezadora a nafta,herramientas
703,combo taladro+amoladora,herramientas
705,almoadones de silla,comedor
683,silla aby doble respaldo,dormitorio
